0,"[2082, 7.5, -3.0402963]"
1,"[2760, 1.5, -2.4014602]"
2,"[2718, 2.0, -1.2332174]"
3,"[373, 5.0, -1.0843091]"
4,"[1905, 2.0, -1.0138831]"
5,"[1843, 10.0, -0.97717535]"
6,"[4, 6.0, -0.75400746]"
7,"[1237, 3.0, 0.01782951]"
8,"[1627, 5.0, 0.04264171]"
9,"[1920, 1.5, 0.05268092]"
10,"[139, 2.5, 0.082435772]"
11,"[2384, 6.0, 0.09793603]"
12,"[1363, 3.5, 0.10279991]"
13,"[2357, 3.0, 0.12778862]"
14,"[2517, 2.5, 0.14699028]"
15,"[293, 5.5, 0.16041419]"
16,"[2166, 2.0, 0.16949114]"
17,"[1738, 0.5, 0.17967154]"
18,"[1196, 1.0, 0.18093091]"
19,"[1835, 5.0, 0.19862927]"
20,"[2686, 4.0, 0.20628762]"
21,"[1910, 6.0, 0.24095346]"
22,"[1539, 5.0, 0.27325803]"
23,"[1235, 2.5, 0.2854373]"
24,"[912, 2.5, 0.29052648]"
25,"[1943, 2.0, 0.29353914]"
26,"[2244, 1.0, 0.2965655]"
27,"[2948, 8.5, 0.33779138]"
28,"[2981, 1.5, 0.3689689]"
29,"[1711, 4.0, 0.39602327]"
